,Tipover prob,predicted label
0,0.0006640139617957175,Not tip
1,0.9032952785491943,Not tip
2,0.0005625345511361957,Not tip
3,0.0005542743601836264,Not tip
4,0.9983363747596741,Not tip
5,0.0028220638632774353,Not tip
6,0.6071046590805054,Not tip
7,0.9945406317710876,Not tip
8,0.0005673632840625942,Not tip
9,0.0005956999375484884,Not tip
10,0.0009904408361762762,Not tip
11,0.0005990568897686899,Not tip
12,0.0006541427574120462,Not tip
13,0.0005358612397685647,Not tip
14,0.0005511589697562158,Not tip
15,0.0005798485362902284,Not tip
16,0.0007352171815000474,Not tip
17,0.0008195005357265472,Not tip
18,0.0010004715295508504,Not tip
19,0.0005558279226534069,Not tip
20,0.0006463590543717146,Not tip
21,0.09052759408950806,Not tip
22,0.001727088587358594,Not tip
23,0.0181588102132082,Not tip
24,0.0005959972040727735,Not tip
25,0.0005488598835654557,Not tip
26,0.24433720111846924,Not tip
27,0.000877221638802439,Not tip
28,0.0006259208894334733,Not tip
29,0.0006165656959638,Not tip
30,0.005023959092795849,Not tip
31,0.0006652158335782588,Not tip
32,0.0006262452225200832,Not tip
33,0.003574912203475833,Not tip
34,0.14308524131774902,Not tip
35,0.000962477526627481,Not tip
36,0.0005789611022919416,Not tip
37,0.0005940364790149033,Not tip
38,0.000562609639018774,Not tip
39,0.0009054245892912149,Not tip
40,0.0005430095479823649,Not tip
41,0.004918205551803112,Not tip
42,0.0006302956608124077,Not tip
43,0.0007151145837269723,Not tip
44,0.0007759823929518461,Not tip
45,0.01716352254152298,Not tip
46,0.0005907070590183139,Not tip
47,0.0007055749883875251,Not tip
48,0.0005901704425923526,Not tip
49,0.0005946799647063017,Not tip
50,0.006654457189142704,Not tip
51,0.001067075994797051,Not tip
52,0.9977591037750244,Not tip
53,0.00038952589966356754,Not tip
54,0.974324643611908,Not tip
55,0.0006558006862178445,Not tip
56,0.0005460187676362693,Not tip
57,0.8592250347137451,Not tip
58,0.0005504555301740766,Not tip
59,0.0005764616653323174,Not tip
60,0.0007807877263985574,Not tip
61,0.0005798700731247663,Not tip
62,0.07276413589715958,Not tip
63,0.002295914338901639,Not tip
64,0.0007003509090282023,Not tip
65,0.0005532873328775167,Not tip
66,0.0005995987448841333,Not tip
67,0.0013371583772823215,Not tip
68,0.001379873021505773,Not tip
69,0.0006973931449465454,Not tip
70,0.001854049158282578,Not tip
71,0.0016430909745395184,Not tip
72,0.0007396325236186385,Not tip
73,0.0007041734061203897,Not tip
74,0.4438098669052124,Not tip
75,0.0005401312955655158,Not tip
